,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
762,190000,1998.0,Mazda,626,2,305.0,Düz,LPG & Benzin,Önden Çekiş,64.0,1991.0,115.0,Tamamı boyalı,Tamamı,0
763,615000,2013.0,Honda,Civic,1.6 i-VTEC ECO Elegance,116.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
764,203000,2007.0,Citroen,C4,1.6 HDi SX,370.0,Düz,Dizel,Önden Çekiş,60.0,1560.0,111.0,2 değişen,0,2
765,460000,2017.0,Opel,Astra,1.6 Edition Plus,136.0,Düz,LPG & Benzin,Önden Çekiş,56.0,1598.0,115.0,,0,0
766,310000,2013.0,Volkswagen,Polo,1.6 TDi Comfortline,189.0,Düz,Dizel,Önden Çekiş,45.0,1598.0,90.0,,0,0
767,275000,2008.0,Hyundai,Getz,1.4 DOHC Start,142.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1399.0,97.0,1 boyalı,1,0
768,112000,2004.0,Fiat,Albea,1.3 Multijet EL,320.0,Düz,Dizel,Önden Çekiş,48.0,1248.0,70.0,,0,0
769,437750,2005.0,Honda,Civic,1.6 i-VTEC ES,202.655,Düz,LPG & Benzin,Önden Çekiş,50.0,1590.0,110.0,4 boyalı,4,0
770,175000,1997.0,Honda,Civic,1.6 LS,377.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1590.0,113.0,,0,0
771,850000,2018.0,Honda,Civic,1.6 i-VTEC Eco Executive,71.0,Otomatik,LPG & Benzin,Önden Çekiş,47.0,1597.0,125.0,,0,0
772,480000,2012.0,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,120.0,Otomatik,Benzin,Önden Çekiş,60.0,1368.0,170.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
773,750000,2021.0,Hyundai,Elantra,1.6 MPI Smart,19.7,Otomatik,Benzin,Önden Çekiş,47.0,1598.0,123.0,,0,0
774,493000,2016.0,Volkswagen,Polo,1.4 TDi Comfortline,110.195,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1422.0,90.0,1 boyalı,1,0
775,483000,2013.0,Toyota,Auris,1.6 Active Skypack,175.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1598.0,132.0,,0,0
776,625000,2017.0,Ford,Focus,1.6 Ti-VCT Trend X,37.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1596.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
777,215000,1998.0,Honda,Civic,1.6 i ES,300.0,Düz,LPG & Benzin,Önden Çekiş,,1590.0,125.0,,0,0
778,158500,1999.0,Hyundai,Accent,1.5 GLS,335.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1495.0,92.0,,0,0
779,143000,1998.0,Fiat,Palio,1.6 HL,242.0,Düz,LPG & Benzin,Önden Çekiş,51.0,1581.0,100.0,,0,0
780,480000,2013.0,Citroen,C5,1.6 e-HDi Executive,220.0,Yarı Otomatik,Dizel,Önden Çekiş,71.0,1560.0,117.0,4 boyalı,4,0
781,315000,2008.0,Toyota,Corolla,1.4 D-4D Comfort,289.6,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1364.0,90.0,"1 değişen, 2 boyalı",2,1
782,250000,2007.0,Citroen,C5,1.6 HDi SX PK,210.0,Düz,Dizel,Önden Çekiş,66.0,1560.0,111.0,"1 değişen, 3 boyalı",3,1
783,549000,2012.0,Volkswagen,VW CC,1.4 TSi,146.69,Yarı Otomatik,Benzin,Önden Çekiş,70.0,1390.0,160.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
784,785000,2020.0,Renault,Megane,1.5 Blue DCI Touch,22.0,Yarı Otomatik,Dizel,Önden Çekiş,49.0,1461.0,115.0,,0,0
